date,pm2_5,pm10,carbon_monoxide,dust,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,month,exceed,pm25_tomorrow,danger_tomorrow
2023-01-01,26.991666666666664,38.875,1536.2083333333333,0.0,21.095833333333335,72.20833333333333,4.2250000000000005,190.5,0.0,981.8416666666667,1,False,25.625,0
2023-01-02,25.625,36.875,1684.0833333333333,0.0,20.641666666666666,66.95833333333333,4.529166666666667,261.0,0.0,982.3708333333334,1,False,20.904166666666665,0
2023-01-03,20.904166666666665,30.037499999999998,1294.6666666666667,0.0,20.2375,68.375,4.645833333333333,249.08333333333334,0.0,982.4041666666667,1,False,26.170833333333334,0
2023-01-04,26.170833333333334,37.59583333333333,1406.0,0.0,21.504166666666666,72.625,4.379166666666666,259.75,0.0,981.7166666666667,1,False,21.96666666666667,0
2023-01-05,21.96666666666667,31.479166666666668,1480.125,0.0,22.583333333333332,70.29166666666667,3.9875000000000003,252.375,0.0,981.3166666666666,1,False,14.487499999999999,0
2023-01-06,14.487499999999999,20.770833333333332,939.3333333333334,0.0,22.212500000000002,62.041666666666664,6.354166666666667,230.25,0.0,982.2166666666667,1,False,16.337500000000002,0
2023-01-07,16.337500000000002,23.370833333333334,846.25,0.0,20.820833333333333,52.666666666666664,8.7875,237.08333333333334,0.0,981.0541666666667,1,False,24.84166666666667,0
2023-01-08,24.84166666666667,35.53333333333333,1482.2083333333333,0.0,19.441666666666666,64.0,4.683333333333334,237.16666666666666,0.0,980.0208333333334,1,False,27.616666666666664,0
2023-01-09,27.616666666666664,39.53333333333333,1662.4583333333333,0.0,20.8625,65.08333333333333,4.220833333333333,219.83333333333334,0.0,980.2375000000001,1,False,28.46666666666667,0
2023-01-10,28.46666666666667,40.75416666666667,1641.3333333333333,0.0,22.508333333333336,65.95833333333333,3.9125,219.95833333333334,0.0,978.4958333333334,1,False,33.57083333333333,0
2023-01-11,33.57083333333333,48.01666666666667,1598.125,0.0,23.108333333333334,68.83333333333333,4.5249999999999995,189.70833333333334,0.8,976.6374999999999,1,False,26.974999999999998,0
2023-01-12,26.974999999999998,38.69166666666667,1148.9166666666667,0.0,22.558333333333334,70.70833333333333,5.154166666666667,231.95833333333334,0.0,975.6958333333333,1,False,30.662499999999998,0
2023-01-13,30.662499999999998,43.92916666666667,1810.9166666666667,0.0,21.412499999999998,64.375,4.425,230.04166666666666,0.0,976.4541666666668,1,False,32.59166666666667,0
2023-01-14,32.59166666666667,46.62916666666666,2139.0833333333335,0.0,20.829166666666666,62.708333333333336,3.8958333333333335,249.375,0.0,975.1541666666667,1,False,35.63333333333333,0
2023-01-15,35.63333333333333,50.98333333333333,2101.9583333333335,0.25,21.47083333333333,55.833333333333336,3.4499999999999997,223.54166666666666,0.0,975.2916666666666,1,False,27.854166666666668,0
2023-01-16,27.854166666666668,39.958333333333336,1513.4166666666667,0.0,20.875,56.166666666666664,4.0,251.04166666666666,0.0,976.7416666666667,1,False,27.125,0
2023-01-17,27.125,38.875,1161.4583333333333,0.0,21.545833333333334,64.95833333333333,4.8999999999999995,236.125,0.0,978.1999999999999,1,False,30.454166666666666,0
2023-01-18,30.454166666666666,43.69166666666666,1198.2083333333333,0.0,22.537499999999998,69.83333333333333,5.345833333333334,227.83333333333334,0.0,979.8375,1,False,29.445833333333336,0
2023-01-19,29.445833333333336,42.24583333333333,1397.5833333333333,0.0,22.27916666666667,68.79166666666667,5.4375,241.54166666666666,0.0,979.5333333333333,1,False,30.616666666666664,0
2023-01-20,30.616666666666664,43.925000000000004,1306.375,0.0,22.304166666666664,64.70833333333333,4.9624999999999995,222.91666666666666,0.0,979.4041666666667,1,False,29.141666666666666,0
2023-01-21,29.141666666666666,41.80416666666667,1294.7916666666667,0.0,22.21666666666667,59.5,3.7083333333333335,242.125,0.0,978.4458333333333,1,False,33.35,0
2023-01-22,33.35,47.762499999999996,1397.7916666666667,0.0,22.71666666666667,56.791666666666664,3.625,227.375,0.0,977.1916666666666,1,False,32.541666666666664,0
2023-01-23,32.541666666666664,46.59583333333333,729.7916666666666,0.0,22.3625,58.666666666666664,3.1666666666666665,239.375,0.0,976.2875,1,False,33.3125,0
2023-01-24,33.3125,47.775,693.7083333333334,0.0,22.1375,59.041666666666664,5.7375,209.25,0.0,978.3041666666667,1,False,28.945833333333336,0
2023-01-25,28.945833333333336,41.483333333333334,786.7916666666666,0.0,22.162499999999998,55.875,4.920833333333333,222.375,0.0,978.3375,1,False,31.316666666666666,0
2023-01-26,31.316666666666666,44.85833333333333,1175.75,0.0,22.25,58.541666666666664,4.791666666666667,219.83333333333334,0.0,977.275,1,False,36.63333333333333,0
2023-01-27,36.63333333333333,52.62083333333334,1479.5,0.0,22.712500000000002,62.5,4.0249999999999995,244.04166666666666,0.0,977.625,1,False,24.458333333333332,0
2023-01-28,24.458333333333332,35.170833333333334,1326.25,0.0,22.579166666666666,60.666666666666664,4.841666666666667,236.41666666666666,0.0,978.4499999999999,1,False,29.787499999999998,0
2023-01-29,29.787499999999998,42.645833333333336,1743.5833333333333,0.0,21.53333333333333,63.708333333333336,3.9875000000000003,228.45833333333334,0.0,980.0291666666667,1,False,37.475,0
2023-01-30,37.475,53.64166666666667,2093.7083333333335,0.0,20.266666666666666,61.708333333333336,5.0125,236.625,0.0,980.6374999999999,1,False,43.083333333333336,1
2023-01-31,43.083333333333336,61.666666666666664,2214.5416666666665,0.0,21.2375,61.666666666666664,4.379166666666666,242.83333333333334,0.0,977.1333333333333,1,True,44.25833333333333,1
2023-02-01,44.25833333333333,63.4,1510.5,0.0,23.212500000000002,61.083333333333336,3.8249999999999997,230.20833333333334,0.0,975.4833333333332,2,True,47.0,1
2023-02-02,47.0,67.34166666666667,1585.2083333333333,0.0,24.72083333333333,59.833333333333336,4.183333333333334,219.375,0.0,976.1166666666667,2,True,38.333333333333336,1
2023-02-03,38.333333333333336,55.2875,1436.6666666666667,0.0,24.9875,59.208333333333336,5.654166666666666,221.75,0.0,975.9916666666667,2,True,35.90833333333333,0
2023-02-04,35.90833333333333,52.06666666666666,987.625,0.0,26.0125,60.916666666666664,5.254166666666666,207.45833333333334,0.0,974.9708333333333,2,False,31.745833333333334,0
