Model,Accuracy,Precision,Recall,F1
Persistence Baseline,0.917910447761194,0.7884615384615384,0.7884615384615384,0.7884615384615384
Logistic Regression,0.8432835820895522,0.5595238095238095,0.9038461538461539,0.6911764705882353
Random Forest,0.8992537313432836,0.7192982456140351,0.7884615384615384,0.7522935779816514
